t,Pa_CO2,P_a,u,HbO2,HHb
0,37.244,76.013,1,-0.011681,0.0095542
0.5,37.255,76.02,1,0.011041,-0.0040424
1,37.268,76.037,1,0.020266,-0.009303
1.5,37.28,76.023,1,0.022156,-0.0037139
2,37.294,76.016,1,0.018866,-0.0014762
2.5,37.306,75.99,1,0.020792,0.0053698
3,37.318,75.965,1,-0.026258,-0.0038558
3.5,37.324,75.934,1,-0.029682,0.0047406
4,37.32,75.935,1,-0.042197,0.0012257
4.5,37.308,75.928,1,-0.037654,-0.015656
5,37.285,75.887,1,-0.029833,-0.0051031
5.5,37.243,75.843,1,-0.067837,-0.032962
6,37.195,75.8,1,-0.09189,-0.094361
6.5,37.238,75.762,1,-0.12185,-0.067552
7,37.315,75.752,1,-0.047738,-0.0029789
7.5,37.406,75.798,1,-0.0089139,0.048249
8,37.509,75.762,1,-0.054738,0.099025
8.5,37.578,75.732,1,0.050937,0.083894
9,37.597,75.763,1,0.092854,-0.047805
9.5,37.61,75.764,1,0.059291,-0.042009
10,37.616,75.776,1,0.10969,0.066784
10.5,37.615,75.781,1,-0.0085371,0.1159
11,37.609,75.778,1,-0.17975,0.088642
11.5,37.603,75.771,1,-0.3908,0.083507
12,37.597,75.763,1,-0.27815,0.10717
12.5,37.546,75.775,1,-0.24841,0.11708
13,37.481,75.772,1,-0.16367,0.11904
13.5,37.532,75.736,1,-0.19612,0.078978
14,37.628,75.727,1,-0.19103,0.074379
14.5,37.658,75.718,1,-0.086862,0.088043
15,37.693,75.708,1,-0.29184,0.086149
15.5,37.735,75.697,1,-0.5073,0.072346
16,37.778,75.795,1,-0.54615,0.05366
16.5,37.825,75.919,1,-0.45629,0.058002
17,37.813,75.952,1,-0.34667,0.049929
17.5,37.743,75.941,1,-0.39427,0.088839
18,37.653,75.921,1,-0.3903,0.050147
18.5,37.551,75.755,1,-0.44781,0.014774
19,37.443,75.791,1,-0.37993,0.067694
19.5,37.377,75.823,1,-0.30737,0.095539
20,37.426,75.851,1,-0.25311,0.093998
20.5,37.449,75.87,1,-0.30112,0.10478
21,37.452,75.88,1,-0.3226,0.12722
21.5,37.441,75.911,1,-0.33887,0.10434
22,37.433,75.917,1,-0.33153,0.11276
22.5,37.443,75.925,1,-0.34762,0.078133
23,37.466,75.956,1,-0.32818,0.10666
23.5,37.488,76.078,1,-0.272,0.09221
24,37.485,76.141,1,-0.19896,0.058236
24.5,37.333,76.122,1,-0.24122,0.095063
25,37.29,76.145,1,-0.20005,0.16709
25.5,37.319,76.069,1,-0.2511,0.1418
26,37.293,76.103,1,-0.26964,0.12467
26.5,37.335,76.153,1,-0.30925,0.066186
27,37.31,76.17,1,-0.22213,0.037791
27.5,37.164,76.089,1,-0.13151,-0.0066502
28,37.104,76.114,1,-0.026635,0.0043472
28.5,37.134,76.091,1,0.039458,0.06496
29,37.155,76.003,1,0.069542,0.026969
29.5,37.131,75.97,1,0.064399,-0.0038738
30,37.093,75.924,1,0.054866,-0.061986
30.5,37.157,75.895,1,0.077461,-0.083612
31,37.168,75.87,1,0.10223,-0.093813
31.5,37.151,75.857,1,0.00091344,-0.063078
32,37.136,75.856,1,0.079268,-0.055183
32.5,37.119,75.779,1,0.11786,-0.042054
33,37.088,75.654,1,0.14439,-0.023358
33.5,37.098,75.693,1,0.15307,-0.075574
34,37.102,75.659,1,0.12076,-0.073673
34.5,37.106,75.64,1,0.12425,-0.065476
35,37.101,75.644,1,0.10401,-0.10245
